disease,symptoms
callus,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, foot or toe pain, foot or toe swelling, irregular appearing nails, skin rash"
guillain barre syndrome,"dizziness, difficulty speaking, leg pain, hand or finger pain, loss of sensation"
lumbago,"leg pain, hip pain, back pain, low back pain, muscle pain, side pain, low back cramps or spasms"
deviated nasal septum,"sore throat, nasal congestion, headache, facial pain, difficulty breathing, allergic reaction, apnea, abnormal breathing sounds, painful sinuses, nosebleed"
hemangioma,"skin swelling, lip swelling, abnormal appearing skin, skin lesion, skin growth, irregular appearing scalp, skin moles, lymphedema, irregular appearing nails, skin dryness, peeling, scaliness, or roughness"
peripheral arterial disease,"leg pain, skin lesion, foot or toe pain, feeling cold, leg cramps or spasms, symptoms of the kidneys, lymphedema, poor circulation"
chronic back pain,"leg pain, hip pain, back pain, neck pain, low back pain, loss of sensation, side pain, lower body pain, groin pain, back cramps or spasms, back stiffness or tightness"
heart failure,"shortness of breath, sharp chest pain, chest tightness, palpitations, cough, weight gain, leg swelling, weakness, difficulty breathing, fluid retention, hurts to breath"
conjunctivitis,"sore throat, cough, nasal congestion, white discharge from eye, pain in eye, eye redness, lacrimation, itchiness of eye, fever, coryza, swollen eye"
herniated disk,"leg pain, hip pain, arm pain, back pain, neck pain, low back pain, loss of sensation, paresthesia, shoulder pain, arm weakness, leg weakness"
rhabdomyolysis,"depressive or psychotic symptoms, sharp chest pain, hoarse voice, leg pain, arm pain"
breast infection (mastitis),"abnormal appearing skin, skin growth, mouth dryness, bleeding or discharge from nipple, fever, chills, pain or soreness of breast, lump or mass of breast, postpartum problems of the breast"
abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, back pain, burning abdominal pain"
pulmonary embolism,"shortness of breath, sharp chest pain, chest tightness, cough, leg pain, leg swelling, weakness, side pain, difficulty breathing, hemoptysis, sweating"
conduct disorder,"depression, depressive or psychotic symptoms, lack of growth, abusing alcohol, fainting, hostile behavior, excessive anger, seizures, temper problems, hysterical behavior"
mastectomy,"skin swelling, arm stiffness or tightness, pain or soreness of breast"
epididymitis,"retention of urine, swelling of scrotum, pain in testicles, mass in scrotum, sharp abdominal pain, painful urination, side pain, lower body pain, groin pain"
premature rupture of amniotic membrane,"elbow weakness, sharp abdominal pain, uterine contractions"
molluscum contagiosum,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, knee lump or mass, itching of skin, skin dryness, peeling, scaliness, or roughness, warts, skin rash"
necrotizing fasciitis,"leg pain, hip pain, elbow weakness"
benign vaginal discharge (leukorrhea),"suprapubic pain, sharp abdominal pain, vaginal itching, painful urination, frequent urination, vaginal discharge, pain during pregnancy, burning abdominal pain, vaginal redness, problems during pregnancy"
bladder obstruction,"retention of urine, suprapubic pain, involuntary urination, frequent urination, impotence, symptoms of bladder, bedwetting, hesitancy"
melanoma,"skin swelling, abnormal appearing skin, skin lesion, skin growth, irregular appearing scalp, swollen lymph nodes, skin moles, itchy eyelid"
cervical disorder,"sharp abdominal pain, vaginal itching, pain during intercourse, pelvic pain"
laryngitis,"hoarse voice, sore throat, difficulty speaking, cough, nasal congestion, throat feels tight, difficulty in swallowing, ear pain, fever, coryza"
dyshidrosis,"frequent urination, abnormal appearing skin, skin lesion, acne or pimples, skin rash"
poisoning due to opioids,"depressive or psychotic symptoms, dizziness, difficulty speaking, drug abuse"
diaper rash,"cough, nasal congestion, blood in stool, irritable infant, vomiting, diarrhea, fever, temper problems, pulling at ears, skin rash, diaper rash"
lichen planus,"difficulty speaking, abnormal appearing skin, skin growth"
gastroduodenal ulcer,"sharp chest pain, blood in stool, sharp abdominal pain, vomiting, nausea, vomiting blood, burning abdominal pain, heartburn, upper abdominal pain, changes in stool appearance"
inguinal hernia,"groin mass, symptoms of the scrotum and testes, swelling of scrotum, pain in testicles, mass in scrotum, sharp abdominal pain, lower abdominal pain, ache all over, swollen abdomen, groin pain"
eczema,"cough, skin swelling, abnormal appearing skin, skin lesion, acne or pimples, irregular appearing scalp, allergic reaction, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation, warts, skin rash"
asperger syndrome,"anxiety and nervousness, depression, depressive or psychotic symptoms, lack of growth, fainting, hostile behavior, excessive anger, antisocial behavior"
mucositis,"sore throat, difficulty in swallowing, irritable infant, mouth ulcer, decreased appetite, fever, tongue lesions, mouth pain"
paronychia,"hand or finger pain, hand or finger swelling, abnormal appearing skin, foot or toe pain, foot or toe swelling, hand or finger lump or mass, skin on leg or foot looks infected, sinus congestion, skin on arm or hand looks infected"
open wound of the jaw,"wrist swelling, lip swelling"
white blood cell disease,"cough, sharp abdominal pain, vomiting, nausea, diarrhea, heartburn, fever, chills, fatigue"
kaposi sarcoma,"depression, elbow weakness"
spondylolisthesis,"leg pain, hip pain, back pain, neck pain, low back pain, problems with movement, loss of sensation, paresthesia, leg cramps or spasms, leg weakness"
pseudotumor cerebri,"dizziness, abnormal involuntary movements, headache, diminished vision, pain in eye"
conjunctivitis due to virus,"cough, nasal congestion, white discharge from eye, diminished vision, pain in eye, eye redness, lacrimation, itchiness of eye, fever, swollen eye"
open wound of the nose,"diminished hearing, headache, facial pain, nosebleed"
